R Y M K 
-261.155875 -12.476667 -164.447294 -109.185248 
-261.155875 -12.476667 -164.447294 -109.185248 
-261.155875 -12.476667 -205.893829 -67.738713 
-261.155875 -12.476667 -123.000760 -150.631783 
-261.155875 -12.476667 -178.262806 -95.369737 
-261.155875 -12.476667 -150.631783 -123.000760 
-261.155875 -12.476667 -164.447294 -109.185248 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -102.253766 -19.360697 
-43.525979 -2.079445 -29.710468 -15.894956 
-43.525979 -2.079445 -15.894956 -29.710468 
-43.525979 -2.079445 -15.894956 -29.710468 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -63.579824 -118.841871 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -118.841871 -63.579824 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -206.586977 -82.247373 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -178.955954 -109.878396 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -178.955954 -109.878396 
-275.664535 -13.169815 -123.693908 -165.140443 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -178.955954 -109.878396 
-261.155875 -12.476667 -164.447294 -109.185248 
-261.155875 -12.476667 -219.709341 -53.923202 
-261.155875 -12.476667 -40.107690 -233.524852 
-261.155875 -12.476667 -192.078318 -81.554225 
-261.155875 -12.476667 -150.631783 -123.000760 
-261.155875 -12.476667 -192.078318 -81.554225 
-261.155875 -12.476667 -136.816271 -136.816271 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -32.483060 -73.929595 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -32.483060 -73.929595 
-101.560618 -4.852037 -87.745107 -18.667549 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -87.745107 -18.667549 
-101.560618 -4.852037 -73.929595 -32.483060 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -146.472894 -35.948801 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -105.026359 -77.395336 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -17.281252 -58.727787 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -17.281252 -58.727787 
-72.543299 -3.465741 -44.912276 -31.096764 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -31.096764 -44.912276 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -77.395336 -105.026359 
