R Y M K 
-102.946915 -33.869357 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-19.360697 -102.253766 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-74.622743 -46.991720 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-33.176209 -88.438255 -5.545185 -116.069278 
-74.622743 -46.991720 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-105.026359 -77.395336 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-132.657382 -49.764313 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-79.474780 -148.552338 -10.397223 -217.629896 
-134.736827 -93.290292 -24.212734 -203.814385 
-93.290292 -134.736827 -10.397223 -217.629896 
-93.290292 -134.736827 -10.397223 -217.629896 
-107.105804 -120.921315 -10.397223 -217.629896 
-134.736827 -93.290292 -10.397223 -217.629896 
-182.421695 -182.421695 -16.635556 -348.207834 
-168.606183 -196.237207 -16.635556 -348.207834 
-140.975160 -223.868230 -16.635556 -348.207834 
-154.790672 -210.052718 -16.635556 -348.207834 
-168.606183 -196.237207 -16.635556 -348.207834 
-168.606183 -196.237207 -16.635556 -348.207834 
-168.606183 -196.237207 -16.635556 -348.207834 
-196.237207 -168.606183 -16.635556 -348.207834 
-113.344137 -251.499253 -16.635556 -348.207834 
-196.237207 -168.606183 -16.635556 -348.207834 
-223.868230 -140.975160 -16.635556 -348.207834 
-182.421695 -182.421695 -16.635556 -348.207834 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-15.201808 -15.201808 -1.386296 -29.017319 
-73.236447 -17.974401 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-17.974401 -73.236447 -4.158889 -87.051958 
