R Y M K 
-149.938635 -108.492100 -246.647216 -11.783519 
-60.807232 -60.807232 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-137.509419 -151.324931 -275.664535 -13.169815 
-109.878396 -178.955954 -275.664535 -13.169815 
-137.509419 -151.324931 -275.664535 -13.169815 
-192.771466 -96.062885 -275.664535 -13.169815 
-123.693908 -165.140443 -275.664535 -13.169815 
-206.586977 -82.247373 -275.664535 -13.169815 
-64.272973 -133.350530 -188.612577 -9.010926 
-91.903996 -105.719507 -188.612577 -9.010926 
-119.535019 -78.088484 -188.612577 -9.010926 
-119.535019 -78.088484 -188.612577 -9.010926 
-78.088484 -119.535019 -188.612577 -9.010926 
-105.719507 -91.903996 -188.612577 -9.010926 
-147.166042 -50.457461 -188.612577 -9.010926 
-105.719507 -91.903996 -188.612577 -9.010926 
-78.088484 -119.535019 -188.612577 -9.010926 
-105.719507 -91.903996 -188.612577 -9.010926 
-61.500380 -75.315891 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-89.131403 -47.684868 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-178.262806 -95.369737 -261.155875 -12.476667 
-109.185248 -164.447294 -261.155875 -12.476667 
-138.202568 -165.833591 -290.173195 -13.862964 
-193.464614 -110.571545 -290.173195 -13.862964 
-193.464614 -110.571545 -290.173195 -13.862964 
-124.387056 -179.649102 -290.173195 -13.862964 
-179.649102 -124.387056 -290.173195 -13.862964 
-165.833591 -138.202568 -290.173195 -13.862964 
-193.464614 -110.571545 -290.173195 -13.862964 
-165.833591 -138.202568 -290.173195 -13.862964 
-61.500380 -75.315891 -130.577938 -6.238334 
-33.869357 -102.946915 -130.577938 -6.238334 
-102.946915 -33.869357 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-102.946915 -33.869357 -130.577938 -6.238334 
-102.946915 -33.869357 -130.577938 -6.238334 
-102.946915 -33.869357 -130.577938 -6.238334 
-47.684868 -89.131403 -130.577938 -6.238334 
-47.684868 -89.131403 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-89.131403 -47.684868 -130.577938 -6.238334 
-46.298572 -60.114083 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-32.483060 -73.929595 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-87.745107 -18.667549 -101.560618 -4.852037 
-87.745107 -18.667549 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-32.483060 -73.929595 -101.560618 -4.852037 
-46.298572 -60.114083 -101.560618 -4.852037 
-118.841871 -63.579824 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-77.395336 -105.026359 -174.103917 -8.317778 
-135.429975 -107.798952 -232.138556 -11.090371 
-149.245486 -93.983440 -232.138556 -11.090371 
-149.245486 -93.983440 -232.138556 -11.090371 
-163.060998 -80.167929 -232.138556 -11.090371 
-149.245486 -93.983440 -232.138556 -11.090371 
-120.228167 -92.597144 -203.121236 -9.704075 
-134.043679 -78.781632 -203.121236 -9.704075 
-161.674702 -51.150609 -203.121236 -9.704075 
-106.412655 -106.412655 -203.121236 -9.704075 
-106.412655 -106.412655 -203.121236 -9.704075 
-106.412655 -106.412655 -203.121236 -9.704075 
-106.412655 -106.412655 -203.121236 -9.704075 
-134.043679 -78.781632 -203.121236 -9.704075 
-254.271846 -171.378776 -406.242473 -19.408149 
-226.640822 -199.009799 -406.242473 -19.408149 
-226.640822 -199.009799 -406.242473 -19.408149 
-240.456334 -185.194288 -406.242473 -19.408149 
-171.378776 -254.271846 -406.242473 -19.408149 
-212.825311 -212.825311 -406.242473 -19.408149 
-281.902869 -143.747753 -406.242473 -19.408149 
-185.194288 -240.456334 -406.242473 -19.408149 
-152.018079 -152.018079 -290.173195 -13.862964 
-179.649102 -124.387056 -290.173195 -13.862964 
-124.387056 -179.649102 -290.173195 -13.862964 
-165.833591 -138.202568 -290.173195 -13.862964 
-124.387056 -179.649102 -290.173195 -13.862964 
-165.833591 -138.202568 -290.173195 -13.862964 
-221.095637 -82.940521 -290.173195 -13.862964 
-138.202568 -165.833591 -290.173195 -13.862964 
-152.018079 -152.018079 -290.173195 -13.862964 
-165.833591 -138.202568 -290.173195 -13.862964 
-150.631783 -123.000760 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-81.554225 -192.078318 -261.155875 -12.476667 
-136.816271 -136.816271 -261.155875 -12.476667 
-192.078318 -81.554225 -261.155875 -12.476667 
-123.000760 -150.631783 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-149.245486 -93.983440 -232.138556 -11.090371 
-163.060998 -80.167929 -232.138556 -11.090371 
-135.429975 -107.798952 -232.138556 -11.090371 
-163.060998 -80.167929 -232.138556 -11.090371 
-176.876510 -66.352417 -232.138556 -11.090371 
-80.167929 -163.060998 -232.138556 -11.090371 
-135.429975 -107.798952 -232.138556 -11.090371 
-62.886676 -104.333211 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-104.333211 -62.886676 -159.595257 -7.624630 
-90.517699 -76.702188 -159.595257 -7.624630 
-46.298572 -60.114083 -101.560618 -4.852037 
-18.667549 -87.745107 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-32.483060 -73.929595 -101.560618 -4.852037 
-46.298572 -60.114083 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-33.869357 -102.946915 -130.577938 -6.238334 
-75.315891 -61.500380 -130.577938 -6.238334 
-33.869357 -102.946915 -130.577938 -6.238334 
-61.500380 -75.315891 -130.577938 -6.238334 
-33.176209 -88.438255 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-33.176209 -88.438255 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-33.176209 -88.438255 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-77.395336 -105.026359 -174.103917 -8.317778 
-77.395336 -105.026359 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-134.736827 -93.290292 -217.629896 -10.397223 
-120.921315 -107.105804 -217.629896 -10.397223 
-120.921315 -107.105804 -217.629896 -10.397223 
-93.290292 -134.736827 -217.629896 -10.397223 
-65.659269 -162.367850 -217.629896 -10.397223 
-134.736827 -93.290292 -203.814385 -24.212734 
-120.921315 -107.105804 -217.629896 -10.397223 
-223.868230 -140.975160 -348.207834 -16.635556 
-251.499253 -113.344137 -348.207834 -16.635556 
-182.421695 -182.421695 -348.207834 -16.635556 
-223.868230 -140.975160 -348.207834 -16.635556 
-182.421695 -182.421695 -348.207834 -16.635556 
-196.237207 -168.606183 -348.207834 -16.635556 
-223.868230 -140.975160 -348.207834 -16.635556 
-15.201808 -15.201808 -29.017319 -1.386296 
-15.201808 -15.201808 -29.017319 -1.386296 
-15.201808 -15.201808 -29.017319 -1.386296 
-17.974401 -73.236447 -87.051958 -4.158889 
-31.789912 -59.420935 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-74.622743 -46.991720 -116.069278 -5.545185 
-74.622743 -46.991720 -116.069278 -5.545185 
-33.176209 -88.438255 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-102.253766 -19.360697 -116.069278 -5.545185 
-88.438255 -33.176209 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-15.201808 -15.201808 -29.017319 -1.386296 
-15.201808 -15.201808 -29.017319 -1.386296 
-15.201808 -15.201808 -29.017319 -1.386296 
-105.026359 -77.395336 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-180.342250 -138.895716 -304.681855 -14.556112 
-138.895716 -180.342250 -304.681855 -14.556112 
